Id,number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3991,2.0,2,3,1967.0,4.0,43.0,3,34500000.0
3992,2.0,3,2,2022.0,7.0,64.0,3,67000000.0
3993,1.0,3,2,2015.0,5.0,48.0,3,44900000.0
3994,3.0,1,2,2023.0,5.0,74.0,0,49000000.0
3995,2.0,2,3,1963.0,4.0,43.0,2,23000000.0
3996,3.0,2,3,1989.0,4.0,74.0,1,47000000.0
3997,3.0,6,2,2019.0,7.0,90.0,3,48000000.0
3998,3.0,6,2,2024.0,3.0,123.63,4,90991680.0
3999,1.0,3,1,1978.0,4.0,36.0,1,32000000.0
4000,3.0,3,3,1977.0,2.0,60.0,3,42000000.0
4001,1.0,0,2,2015.0,1.0,33.0,1,16500000.0
4002,4.0,2,2,2018.0,3.0,112.0,3,84000000.0
4003,3.0,0,2,2015.0,1.0,75.0,3,44000000.0
4004,3.0,0,2,2019.0,5.0,58.0,3,36000000.0
4005,3.0,3,2,2017.0,8.0,105.0,3,94000000.0
4006,2.0,3,1,1986.0,2.0,44.6,3,39999999.0
4007,1.0,1,2,2023.0,4.0,43.0,3,42990000.0
4008,1.0,3,3,1983.0,5.0,40.0,3,37000000.0
4009,2.0,2,3,1974.0,2.0,46.0,3,23990000.0
4010,2.0,0,2,2018.0,4.0,43.0,3,32000000.0
4011,2.0,3,3,1987.0,1.0,69.0,3,35000000.0
4012,1.0,0,3,1993.0,3.0,39.0,1,26000000.0
4013,2.0,3,1,1963.0,4.0,38.8,1,37500000.0
4014,2.0,0,2,2016.0,2.0,55.0,3,30500000.0
4015,3.0,7,3,1974.0,3.0,64.0,3,30000000.0
4016,2.0,7,2,2016.0,5.0,67.0,1,32000000.0
4017,1.0,5,2,2019.0,1.0,47.0,3,22500000.0
4018,3.0,6,2,2012.0,12.0,132.5,3,57000000.0
4019,2.0,4,2,2010.0,4.0,64.0,3,33000000.0
4020,3.0,1,2,2018.0,3.0,65.0,3,63500000.0
4021,2.0,6,0,1961.0,1.0,50.0,1,18500000.0
4022,2.0,3,2,2019.0,10.0,65.0,3,69500000.0
4023,2.0,0,2,2022.0,12.0,58.0,3,37000000.0
4024,2.0,1,3,1973.0,3.0,43.0,3,31500000.0
4025,1.0,3,1,1995.0,3.0,40.0,3,32500000.0
4026,3.0,3,2,2019.0,2.0,105.2,3,117000000.0
4027,1.0,1,3,1980.0,5.0,33.0,3,33000000.0
4028,2.0,3,2,2016.0,2.0,52.0,0,39500000.0
4029,3.0,3,2,2021.0,7.0,115.0,3,139900000.0
4030,2.0,2,3,1991.0,5.0,60.0,3,40000000.0
4031,2.0,6,2,2013.0,6.0,67.4,3,56000000.0
4032,5.0,5,2,2022.0,3.0,267.0,0,280000000.0
4033,1.0,4,3,1987.0,1.0,40.0,3,23500000.0
4034,3.0,2,3,1988.0,1.0,72.0,3,43300000.0
4035,2.0,4,1,1968.0,1.0,45.0,1,22500000.0
4036,1.0,5,2,2020.0,7.0,25.0,3,19400000.0
4037,5.0,5,2,2016.0,7.0,232.0,3,282000000.0
4038,4.0,5,2,2020.0,4.0,135.0,3,81000000.0
4039,2.0,1,3,1981.0,3.0,43.8,3,25000000.0
4040,1.0,1,2,2022.0,7.0,33.9,3,27500000.0
4041,4.0,5,2,2022.0,4.0,170.6,0,135000000.0
4042,1.0,1,2,2014.0,11.0,55.0,3,56000000.0
4043,1.0,2,3,1977.0,1.0,33.0,3,21500000.0
4044,1.0,2,3,1966.0,2.0,33.0,3,21000000.0
4045,4.0,3,1,1990.0,4.0,91.0,3,68000000.0
4046,4.0,1,1,1976.0,5.0,70.0,1,50000000.0
4047,1.0,5,1,2018.0,1.0,30.0,3,14000000.0
4048,1.0,3,2,2021.0,8.0,43.0,3,37000000.0
4049,3.0,6,2,2021.0,2.0,92.0,3,40000000.0
4050,2.0,2,2,2023.0,2.0,53.3,0,51000000.0
4051,4.0,2,2,1996.0,9.0,100.0,3,55500000.0
4052,1.0,5,3,1973.0,3.0,33.0,3,34000000.0
4053,1.0,3,1,1961.0,1.0,31.0,3,21900000.0
4054,2.0,1,1,1979.0,2.0,63.0,3,47000000.0
4055,2.0,6,2,2012.0,12.0,108.0,3,35555555.0
4056,2.0,3,2,2023.0,2.0,52.0,3,46000000.0
4057,1.0,6,2,2014.0,1.0,17.6,3,9000000.0
4058,2.0,3,2,2015.0,7.0,63.5,3,53000000.0
4059,4.0,3,2,2019.0,3.0,120.0,0,143000000.0
4060,3.0,1,2,2024.0,1.0,64.0,4,39000000.0
4061,1.0,3,2,2023.0,12.0,46.0,4,39500000.0
4062,1.0,7,1,1979.0,3.0,20.6,2,8700000.0
4063,3.0,6,2,2021.0,7.0,85.0,3,43000000.0
4064,3.0,1,2,2009.0,5.0,98.0,3,80000000.0
4065,2.0,2,3,1968.0,1.0,43.0,1,24500000.0
4066,3.0,2,3,1968.0,2.0,60.0,3,35000000.0
4067,3.0,1,3,1988.0,4.0,75.0,3,65000000.0
4068,3.0,2,3,1974.0,3.0,60.0,2,27000000.0
4069,3.0,3,3,1970.0,4.0,65.9,3,43000000.0
